zipcode,city,state,county,latitude,longitude
94501,Alameda,CA,Alameda,37.7706,-122.2648
94502,Alameda,CA,Alameda,37.7351,-122.2431
94536,Fremont,CA,Alameda,37.5605,-121.9999
94537,Fremont,CA,Alameda,37.6802,-121.9215
94538,Fremont,CA,Alameda,37.5308,-121.9712
94539,Fremont,CA,Alameda,37.5176,-121.9287
94540,Hayward,CA,Alameda,37.6802,-121.9215
94541,Hayward,CA,Alameda,37.674,-122.0894
94542,Hayward,CA,Alameda,37.6586,-122.0472
94543,Hayward,CA,Alameda,37.6688,-122.0808
94544,Hayward,CA,Alameda,37.6374,-122.067
94545,Hayward,CA,Alameda,37.6332,-122.0971
94546,Castro Valley,CA,Alameda,37.7015,-122.0782
94550,Livermore,CA,Alameda,37.683,-121.763
94551,Livermore,CA,Alameda,37.7526,-121.77
94552,Castro Valley,CA,Alameda,37.7131,-122.0381
94555,Fremont,CA,Alameda,37.5735,-122.0469
94557,Hayward,CA,Alameda,37.6802,-121.9215
94560,Newark,CA,Alameda,37.5368,-122.032
94566,Pleasanton,CA,Alameda,37.6658,-121.8755
94568,Dublin,CA,Alameda,37.7166,-121.9226
94577,San Leandro,CA,Alameda,37.7205,-122.1587
94578,San Leandro,CA,Alameda,37.7024,-122.124
94579,San Leandro,CA,Alameda,37.6892,-122.1507
94580,San Lorenzo,CA,Alameda,37.6787,-122.1295
94586,Sunol,CA,Alameda,37.6094,-121.8986
94587,Union City,CA,Alameda,37.5895,-122.0497
94588,Pleasanton,CA,Alameda,37.6873,-121.8957
94601,Oakland,CA,Alameda,37.7806,-122.2166
94602,Oakland,CA,Alameda,37.8011,-122.2104
94603,Oakland,CA,Alameda,37.7402,-122.171
94604,Oakland,CA,Alameda,37.8044,-122.2708
94605,Oakland,CA,Alameda,37.7641,-122.1633
94606,Oakland,CA,Alameda,37.7957,-122.2429
94607,Oakland,CA,Alameda,37.8071,-122.2851
94608,Emeryville,CA,Alameda,37.8365,-122.2804
94609,Oakland,CA,Alameda,37.8361,-122.2637
94610,Oakland,CA,Alameda,37.8126,-122.2443
94611,Oakland,CA,Alameda,37.8471,-122.2223
94612,Oakland,CA,Alameda,37.8085,-122.2668
94613,Oakland,CA,Alameda,37.7811,-122.1866
94614,Oakland,CA,Alameda,37.7277,-122.2046
94615,Oakland,CA,Alameda,37.8067,-122.3004
94617,Oakland,CA,Alameda,37.8078,-122.2717
94618,Oakland,CA,Alameda,37.8431,-122.2402
94619,Oakland,CA,Alameda,37.7878,-122.1884
94620,Piedmont,CA,Alameda,37.8244,-122.2316
